sent_id	sentence	parse	sent_norm	parse_norm
209c010c	N. A. S. A. is also considering the Kennedy Space Center, in Democratic Representative William Nelson's district.	(S (NP (NNP N.) (NNP A.) (NNP S.) (NN A.)) (VP (VBZ is) (ADVP (RB also)) (VP (VBG considering) (NP (NP (DT the) (NNP Kennedy) (NNP Space) (NNP Center)) (, ,) (PP (IN in) (NP (NP (JJ Democratic) (NNP Representative) (NNP William) (NNP Nelson) (POS 's)) (NN district)))))) (. .))	n. a. s. a. is also considering the kennedy space center in democratic representative william nelson 's district	(ROOT (S (NP (NNP n.) (NNP a.) (NNP s.) (NN a.)) (VP (VBZ is) (ADVP (RB also)) (VP (VBG considering) (NP (NP (DT the) (NNP kennedy) (NNP space) (NNP center)) (PP (IN in) (NP (NP (JJ democratic) (NNP representative) (NNP william) (NNP nelson) (POS 's)) (NN district))))))))
209c010d	Mr. Nelson, who flew on a shuttle flight, heads a subcommittee that oversees N. A. S. A.	(S (NP (NP (NNP Mr.) (NNP Nelson)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBD flew) (PP (IN on) (NP (DT a) (JJ shuttle) (NN flight)))))) (, ,)) (VP (VBZ heads) (NP (NP (DT a) (NN subcommittee)) (SBAR (WHNP (WDT that)) (S (VP (VBZ oversees) (NP (NNP N.) (NNP A.) (NNP S.) (NNP A))))))) (. .))	mr. nelson who flew on a shuttle flight heads a subcommittee that oversees n. a. s. a	(ROOT (S (NP (NP (NNP mr.) (NNP nelson)) (SBAR (WHNP (WP who)) (S (VP (VBD flew) (PP (IN on) (NP (DT a) (JJ shuttle) (NN flight))))))) (VP (VBZ heads) (NP (NP (DT a) (NN subcommittee)) (SBAR (WHNP (WDT that)) (S (VP (VBZ oversees) (NP (NNP n.) (NNP a.) (NNP s.) (NNP a)))))))))
209c010e	At first, some medical professionals had reservations about such corporate initiative.	(S (PP (IN At) (NP (JJ first))) (, ,) (NP (DT some) (JJ medical) (NNS professionals)) (VP (VBD had) (NP (NP (NNS reservations)) (PP (IN about) (NP (JJ such) (JJ corporate) (NN initiative))))) (. .))	at first some medical professionals had reservations about such corporate initiative	(ROOT (S (PP (IN at) (NP (JJ first))) (NP (DT some) (JJ medical) (NNS professionals)) (VP (VBD had) (NP (NP (NNS reservations)) (PP (IN about) (NP (JJ such) (JJ corporate) (NN initiative)))))))
209c010f	A hospital official recalls this attitude: "You make beer cans.	(S (NP (DT A) (NN hospital) (NN official)) (VP (VBZ recalls) (NP (NP (DT this) (NN attitude)) (: :) (`` ``) (S (NP (PRP You)) (VP (VBP make) (NP (NN beer) (NNS cans)))))) (. .))	a hospital official recalls this attitude you make beer cans	(ROOT (S (NP (DT a) (NN hospital) (NN official)) (VP (VBZ recalls) (NP (NP (DT this) (NN attitude)) (S (NP (PRP you)) (VP (VBP make) (NP (NN beer) (NNS cans))))))))
209c010g	Don't tell us how to practice medicine."	(S (VP (VBP Do) (RB n't) (VP (VB tell) (NP (PRP us)) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (NN practice) (NP (NN medicine)))))))) (. .) ('' ''))	do n't tell us how to practice medicine	(ROOT (S (VP (VBP do) (RB n't) (VP (VB tell) (NP (PRP us)) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (NN practice) (NP (NN medicine))))))))))
209c010h	Last month, however, the hospital started to discount room rates for Alcoa employees.	(S (NP (JJ Last) (NN month)) (, ,) (ADVP (RB however)) (, ,) (NP (DT the) (NN hospital)) (VP (VBD started) (S (VP (TO to) (VP (VB discount) (NP (NP (NN room) (NNS rates)) (PP (IN for) (NP (NNP Alcoa) (NNS employees)))))))) (. .))	last month however the hospital started to discount room rates for alcoa employees	(ROOT (S (NP (JJ last) (NN month)) (ADVP (RB however)) (NP (DT the) (NN hospital)) (VP (VBD started) (S (VP (TO to) (VP (VB discount) (NP (NP (NN room) (NNS rates)) (PP (IN for) (NP (NNP alcoa) (NNS employees))))))))))
209c010i	It also agreed to use MedisGroups and then disclose certain clinically related data to the company.	(S (NP (PRP It)) (ADVP (RB also)) (VP (VBD agreed) (S (VP (TO to) (VP (VP (VB use) (NP (NNP MedisGroups))) (CC and) (ADVP (RB then)) (VP (VB disclose) (NP (JJ certain) (ADJP (RB clinically) (VBN related)) (NNS data)) (PP (TO to) (NP (DT the) (NN company)))))))) (. .))	it also agreed to use medisgroups and then disclose certain clinically related data to the company	(ROOT (S (NP (PRP it)) (ADVP (RB also)) (VP (VBD agreed) (S (VP (TO to) (VP (VP (VB use) (NP (NNP medisgroups))) (CC and) (ADVP (RB then)) (VP (VB disclose) (NP (JJ certain) (ADJP (RB clinically) (VBN related)) (NNS data)) (PP (TO to) (NP (DT the) (NN company))))))))))
209c010j	And many doctors at the hospital have agreed to cap their fees.	(S (CC And) (NP (NP (JJ many) (NNS doctors)) (PP (IN at) (NP (DT the) (NN hospital)))) (VP (VBP have) (VP (VBN agreed) (S (VP (TO to) (VP (VB cap) (NP (PRP$ their) (NNS fees))))))) (. .))	and many doctors at the hospital have agreed to cap their fees	(ROOT (S (CC and) (NP (NP (JJ many) (NNS doctors)) (PP (IN at) (NP (DT the) (NN hospital)))) (VP (VBP have) (VP (VBN agreed) (S (VP (TO to) (VP (VB cap) (NP (PRP$ their) (NNS fees)))))))))
209c010k	New ways to boost productivity and save jobs often end labor strife.	(S (NP (NP (NNP New) (NNS ways)) (SBAR (S (VP (TO to) (VP (VP (VB boost) (NP (NN productivity))) (CC and) (VP (VB save) (NP (NNS jobs)))))))) (ADVP (RB often)) (VP (VBP end) (NP (NN labor) (NN strife))) (. .))	new ways to boost productivity and save jobs often end labor strife	(ROOT (S (NP (NP (NNP new) (NNS ways)) (SBAR (S (VP (TO to) (VP (VP (VB boost) (NP (NN productivity))) (CC and) (VP (VB save) (NP (NNS jobs)))))))) (ADVP (RB often)) (VP (VBP end) (NP (NN labor) (NN strife)))))
209c010l	The Communications Workers and Ameritech share information; the Michigan Bell unit and the union experiment with joint labor-negotiation training.	(S (NP (DT The) (NNPS Communications) (NNPS Workers) (CC and) (NNP Ameritech) (NN share) (NN information)) (: ;) (NP (DT the) (NNP Michigan) (NNP Bell) (NN unit)) (CC and) (NP (DT the) (NN union)) (VP (NN experiment) (PP (IN with) (NP (JJ joint) (NN labor-negotiation) (NN training)))) (. .))	the communications workers and ameritech share information the michigan bell unit and the union experiment with joint labor-negotiation training	(ROOT (S (NP (DT the) (NNPS communications) (NNPS workers) (CC and) (NNP ameritech) (NN share) (NN information)) (NP (DT the) (NNP michigan) (NNP bell) (NN unit)) (CC and) (NP (DT the) (NN union)) (VP (NN experiment) (PP (IN with) (NP (JJ joint) (NN labor-negotiation) (NN training))))))
209c010m	Williams Pipe Line managers and workers hold regular "quality circle" give-and-take sessions; rubbing shoulders helped combine jobs and expand worker skills.	(S (S (NP (NNP Williams) (NNP Pipe) (NNP Line) (NNS managers) (CC and) (NNS workers)) (VP (VBP hold) (NP (JJ regular) (`` ``) (NN quality) (NN circle) ('' '') (JJ give-and-take) (NNS sessions)))) (: ;) (S (S (VP (VBG rubbing) (NP (NNS shoulders)))) (VP (VP (VBD helped) (VP (VB combine) (NP (NNS jobs)))) (CC and) (VP (NN expand) (NP (NN worker) (NNS skills))))) (. .))	williams pipe line managers and workers hold regular quality circle give-and-take sessions rubbing shoulders helped combine jobs and expand worker skills	(ROOT (S (S (NP (NNP williams) (NNP pipe) (NNP line) (NNS managers) (CC and) (NNS workers)) (VP (VBP hold) (NP (JJ regular) (NN quality) (NN circle) (JJ give-and-take) (NNS sessions)))) (S (S (VP (VBG rubbing) (NP (NNS shoulders)))) (VP (VP (VBD helped) (VP (VB combine) (NP (NNS jobs)))) (CC and) (VP (NN expand) (NP (NN worker) (NNS skills)))))))
209c010n	The crack epidemic has just about silenced liberal opposition to tough law-and-order policies.	(S (NP (DT The) (NN crack) (NN epidemic)) (VP (VBZ has) (ADVP (RB just) (RB about)) (JJ silenced) (NP (NP (JJ liberal) (NN opposition)) (PP (TO to) (NP (JJ tough) (NN law-and-order) (NNS policies))))) (. .))	the crack epidemic has just about silenced liberal opposition to tough law-and-order policies	(ROOT (S (NP (DT the) (NN crack) (NN epidemic)) (VP (VBZ has) (ADVP (RB just) (RB about)) (JJ silenced) (NP (NP (JJ liberal) (NN opposition)) (PP (TO to) (NP (JJ tough) (NN law-and-order) (NNS policies)))))))
209c010o	It is obviously ridiculous to talk about "rehabilitating" an Uzi-toting drug pusher who makes five thousand dollars a week.	(S (NP (NP (PRP It))) (VP (VBZ is) (ADVP (RB obviously)) (ADJP (JJ ridiculous)) (S (VP (TO to) (VP (VB talk) (PP (IN about) (S (VP (`` ``) (VBG rehabilitating) ('' '') (NP (NP (DT an) (JJ Uzi-toting) (NN drug) (NN pusher)) (SBAR (WHNP (WP who)) (S (VP (VBZ makes) (NP (NP (QP (CD five) (CD thousand)) (NNS dollars)) (NP (DT a) (NN week)))))))))))))) (. .))	it is obviously ridiculous to talk about rehabilitating an uzi-toting drug pusher who makes five thousand dollars a week	(ROOT (S (NP (PRP it)) (VP (VBZ is) (ADVP (RB obviously)) (ADJP (JJ ridiculous)) (S (VP (TO to) (VP (VB talk) (PP (IN about) (S (VP (VBG rehabilitating) (NP (NP (DT an) (JJ uzi-toting) (NN drug) (NN pusher)) (SBAR (WHNP (WP who)) (S (VP (VBZ makes) (NP (NP (QP (CD five) (CD thousand)) (NNS dollars)) (NP (DT a) (NN week))))))))))))))))
209c010p	His problem is not lack of self-esteem.	(S (NP (PRP$ His) (NN problem)) (VP (VBZ is) (RB not) (NP (NP (JJ lack)) (PP (IN of) (NP (NN self-esteem))))) (. .))	his problem is not lack of self-esteem	(ROOT (S (NP (PRP$ his) (NN problem)) (VP (VBZ is) (RB not) (NP (NP (JJ lack)) (PP (IN of) (NP (NN self-esteem)))))))
209c010q	There is nothing a social worker is going to be able to do for him, especially since the social worker is too afraid to venture into his neighborhood.	(S (NP (EX There)) (VP (VBZ is) (NP (NP (NN nothing)) (SBAR (S (NP (DT a) (JJ social) (NN worker)) (VP (VBZ is) (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB do) (PP (IN for) (NP (PRP him)))))))))))))) (, ,) (SBAR (ADVP (RB especially)) (IN since) (S (NP (DT the) (JJ social) (NN worker)) (VP (VBZ is) (ADJP (RB too) (JJ afraid) (S (VP (TO to) (VP (NN venture) (PP (IN into) (NP (PRP$ his) (NN neighborhood))))))))))) (. .))	there is nothing a social worker is going to be able to do for him especially since the social worker is too afraid to venture into his neighborhood	(ROOT (S (NP (EX there)) (VP (VBZ is) (NP (NP (NN nothing)) (SBAR (S (NP (DT a) (JJ social) (NN worker)) (VP (VBZ is) (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB do) (PP (IN for) (NP (PRP him)))))))))))))) (SBAR (ADVP (RB especially)) (IN since) (S (NP (DT the) (JJ social) (NN worker)) (VP (VBZ is) (ADJP (RB too) (JJ afraid) (S (VP (TO to) (VP (NN venture) (PP (IN into) (NP (PRP$ his) (NN neighborhood)))))))))))))
408c0201	Mr. Cross is a Princeton, N. J., investor and Mr. Slaine is president of Dealer's Digest Incorporated in New York.	(S (S (NP (NNP Mr.) (NNP Cross)) (VP (VBZ is) (NP (DT a) (NAC (NNP Princeton) (, ,) (NNP N.) (NNP J.) (, ,)) (NN investor)))) (CC and) (S (NP (NNP Mr.) (NNP Slaine)) (VP (VBZ is) (NP (NP (NN president)) (PP (IN of) (NP (NP (NP (NNP Dealer) (POS 's)) (NNP Digest) (NNP Incorporated)) (PP (IN in) (NP (NNP New) (NNP York)))))))) (. .))	mr. cross is a princeton n. j. investor and mr. slaine is president of dealer 's digest incorporated in new york	(ROOT (S (S (NP (NNP mr.) (NNP cross)) (VP (VBZ is) (NP (DT a) (NAC (NNP princeton) (NNP n.) (NNP j.)) (NN investor)))) (CC and) (S (NP (NNP mr.) (NNP slaine)) (VP (VBZ is) (NP (NP (NN president)) (PP (IN of) (NP (NP (NP (NNP dealer) (POS 's)) (NNP digest) (NNP incorporated)) (PP (IN in) (NP (NNP new) (NNP york))))))))))
408c0202	Mr. Cross called the purchases an investment.	(S (NP (NNP Mr.) (NNP Cross)) (VP (VBD called) (S (NP (DT the) (NNS purchases)) (NP (DT an) (NN investment)))) (. .))	mr. cross called the purchases an investment	(ROOT (S (NP (NNP mr.) (NNP cross)) (VP (VBD called) (S (NP (DT the) (NNS purchases)) (NP (DT an) (NN investment))))))
408c0203	Frost and Sullivan couldn't be reached for comment.	(S (NP (NNP Frost) (CC and) (NNP Sullivan)) (VP (MD could) (RB n't) (VP (VB be) (VP (VBN reached) (PP (IN for) (NP (NN comment)))))) (. .))	frost and sullivan could n't be reached for comment	(ROOT (S (NP (NNP frost) (CC and) (NNP sullivan)) (VP (MD could) (RB n't) (VP (VB be) (VP (VBN reached) (PP (IN for) (NP (NN comment))))))))
408c0204	The sale also provides the federal government with cash as it tries to narrow the budget deficit.	(S (NP (DT The) (NN sale)) (ADVP (RB also)) (VP (VBZ provides) (NP (DT the) (JJ federal) (NN government)) (PP (IN with) (NP (NN cash))) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ tries) (S (VP (TO to) (VP (VB narrow) (NP (DT the) (NN budget) (NN deficit))))))))) (. .))	the sale also provides the federal government with cash as it tries to narrow the budget deficit	(ROOT (S (NP (DT the) (NN sale)) (ADVP (RB also)) (VP (VBZ provides) (NP (DT the) (JJ federal) (NN government)) (PP (IN with) (NP (NN cash))) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ tries) (S (VP (TO to) (VP (VB narrow) (NP (DT the) (NN budget) (NN deficit)))))))))))
408c0205	After subtracting underwriters' fees of about seventy million dollars, the government's net proceeds from the offering are one point five eight billion dollars.	(S (PP (IN After) (S (VP (VBG subtracting) (NP (NP (NP (NNS underwriters) (POS ')) (NNS fees)) (PP (IN of) (NP (QP (IN about) (NN seventy) (CD million)) (NNS dollars))))))) (, ,) (NP (NP (NP (DT the) (NN government) (POS 's)) (JJ net) (NNS proceeds)) (PP (IN from) (NP (DT the) (NN offering)))) (VP (VBP are) (NP (QP (CD one) (NN point) (QP (CD five) (CD eight) (CD billion))) (NNS dollars))) (. .))	after subtracting underwriters ' fees of about seventy million dollars the government 's net proceeds from the offering are one point five eight billion dollars	(ROOT (S (PP (IN after) (S (VP (VBG subtracting) (NP (NP (NP (NNS underwriters) (POS ')) (NNS fees)) (PP (IN of) (NP (QP (IN about) (NN seventy) (CD million)) (NNS dollars))))))) (NP (NP (NP (DT the) (NN government) (POS 's)) (JJ net) (NNS proceeds)) (PP (IN from) (NP (DT the) (NN offering)))) (VP (VBP are) (NP (QP (CD one) (NN point) (QP (CD five) (CD eight) (CD billion))) (NNS dollars)))))
408c0206	In addition, the government has already been paid three hundred million dollars from Conrail's cash reserves under provisions of the public offering.	(S (PP (IN In) (NP (NN addition))) (, ,) (NP (DT the) (NN government)) (VP (VBZ has) (ADVP (RB already)) (VP (VBN been) (VP (VBN paid) (NP (QP (CD three) (CD hundred) (CD million)) (NNS dollars)) (PP (IN from) (NP (NP (NNP Conrail) (POS 's)) (NN cash) (NNS reserves))) (PP (IN under) (NP (NP (NNS provisions)) (PP (IN of) (NP (DT the) (JJ public) (NN offering)))))))) (. .))	in addition the government has already been paid three hundred million dollars from conrail 's cash reserves under provisions of the public offering	(ROOT (S (PP (IN in) (NP (NN addition))) (NP (DT the) (NN government)) (VP (VBZ has) (ADVP (RB already)) (VP (VBN been) (VP (VBN paid) (NP (QP (CD three) (CD hundred) (CD million)) (NNS dollars)) (PP (IN from) (NP (NP (NNP conrail) (POS 's)) (NN cash) (NNS reserves))) (PP (IN under) (NP (NP (NNS provisions)) (PP (IN of) (NP (DT the) (JJ public) (NN offering))))))))))
